Order,Family,Genus,Species,Binomial,ActivityCycle,AdultBodyMass,GestationLen,HomeRange,DietBreadth,LitterSize,LittersPerYear,MaxLongevity,HabitatBreadth,NeonateBodyMass,PopulationDensity,Terrestriality,TrophicLevel
Chiroptera,Vespertilionidae,Miniopterus,schreibersii,Miniopterus schreibersii,NA,11.46,182.5,NA,1,0.99,1,168,2,2.86,NA,above ground,carnivore
Soricomorpha,Soricidae,Crocidura,somalica,Crocidura somalica,NA,11.5,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA
Chiroptera,Molossidae,Myopterus,whitleyi,Myopterus whitleyi,NA,11.55,NA,NA,3,NA,NA,NA,1,NA,NA,above ground,NA
Rodentia,Cricetidae,Reithrodontomys,fulvescens,Reithrodontomys fulvescens,nocturnal,11.55,NA,0.001343843,3,3.76,NA,NA,1,1.11,639.1,above ground,omnivore
Chiroptera,Rhinolophidae,Rhinolophus,pearsonii,Rhinolophus pearsonii,NA,11.55,NA,NA,1,NA,NA,NA,1,NA,NA,above ground,carnivore
Chiroptera,Molossidae,Mormopterus,jugularis,Mormopterus jugularis,NA,11.56,NA,NA,1,NA,NA,NA,1,NA,NA,above ground,carnivore
Rodentia,Cricetidae,Scotinomys,teguina,Scotinomys teguina,NA,11.59,31.2,NA,4,2.46,NA,NA,1,1.11,NA,ground dwelling,omnivore
Soricomorpha,Soricidae,Myosorex,varius,Myosorex varius,both,11.68,NA,NA,1,2.9,2,12,1,1,1693.63,ground dwelling,carnivore
Chiroptera,Phyllostomidae,Artibeus,phaeotis,Artibeus phaeotis,NA,11.69,NA,NA,NA,0.99,2,NA,1,2.52,NA,above ground,omnivore
Soricomorpha,Soricidae,Megasorex,gigas,Megasorex gigas,NA,11.71,NA,NA,NA,NA,NA,NA,1,NA,NA,ground dwelling,NA
Soricomorpha,Soricidae,Crocidura,nigrofusca,Crocidura nigrofusca,NA,11.75,NA,NA,NA,2.49,NA,NA,NA,NA,NA,NA,NA
Rodentia,Dipodidae,Sicista,subtilis,Sicista subtilis,NA,11.75,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA
Soricomorpha,Soricidae,Cryptotis,thomasi,Cryptotis thomasi,NA,11.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,carnivore
Chiroptera,Phyllostomidae,Sturnira,mordax,Sturnira mordax,NA,11.79,NA,NA,NA,0.98,NA,NA,1,NA,NA,above ground,herbivore
Soricomorpha,Soricidae,Crocidura,usambarae,Crocidura usambarae,NA,11.83,NA,NA,NA,1.99,NA,NA,1,NA,NA,NA,NA
Chiroptera,Phyllostomidae,Macrotus,californicus,Macrotus californicus,NA,11.83,250.29,NA,NA,1,NA,124.8,1,2.52,NA,above ground,omnivore
Chiroptera,Vespertilionidae,Scotorepens,orion,Scotorepens orion,NA,11.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soricomorpha,Soricidae,Blarina,carolinensis,Blarina carolinensis,NA,11.91,NA,0.00995781,2,3.95,NA,NA,NA,NA,629.99,ground dwelling,omnivore
Chiroptera,Phyllostomidae,Vampyressa,bidens,Vampyressa bidens,NA,11.91,NA,NA,3,0.98,NA,NA,2,0.61,NA,above ground,NA
Chiroptera,Vespertilionidae,Scotorepens,balstoni,Scotorepens balstoni,NA,11.92,212.91,NA,3,1.41,NA,NA,1,2.39,NA,above ground,NA
Rodentia,Heteromyidae,Perognathus,amplus,Perognathus amplus,NA,11.97,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
Soricomorpha,Soricidae,Crocidura,fuliginosa,Crocidura fuliginosa,NA,12,NA,NA,2,1.73,NA,NA,1,NA,NA,NA,NA
Rodentia,Nesomyidae,Dendromus,lovati,Dendromus lovati,NA,12,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
Chiroptera,Hipposideridae,Hipposideros,stenotis,Hipposideros stenotis,NA,12,NA,NA,1,NA,NA,NA,1,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Philetor,brachypterus,Philetor brachypterus,NA,12,NA,NA,3,NA,NA,NA,1,NA,NA,above ground,NA
Dasyuromorphia,Dasyuridae,Planigale,maculata,Planigale maculata,both,12,19.74,NA,1,7.64,2,48,1,NA,NA,ground dwelling,NA
Rodentia,Muridae,Pseudomys,johnsoni,Pseudomys johnsoni,NA,12,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
Rodentia,Muridae,Pseudomys,laborifex,Pseudomys laborifex,NA,12,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
Chiroptera,Rhinolophidae,Rhinolophus,acuminatus,Rhinolophus acuminatus,NA,12.1,NA,NA,1,1,NA,NA,1,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Idionycteris,phyllotis,Idionycteris phyllotis,NA,12.13,NA,NA,3,0.99,1,38,3,0.73,NA,above ground,NA
Chiroptera,Molossidae,Cynomops,paranus,Cynomops paranus,NA,12.16,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Soricomorpha,Soricidae,Paracrocidura,schoutedeni,Paracrocidura schoutedeni,NA,12.18,NA,NA,6,NA,NA,NA,1,NA,NA,NA,NA
Dasyuromorphia,Dasyuridae,Sminthopsis,ooldea,Sminthopsis ooldea,both,12.19,20.87,NA,NA,7.24,NA,36,1,NA,NA,ground dwelling,NA
Chiroptera,Vespertilionidae,Lasiurus,ega,Lasiurus ega,NA,12.2,96.22,NA,1,2.14,1,NA,1,NA,NA,above ground,carnivore
Chiroptera,Molossidae,Eumops,bonariensis,Eumops bonariensis,NA,12.22,NA,NA,1,0.99,1,NA,2,1.24,NA,above ground,carnivore
Soricomorpha,Soricidae,Sorex,isodon,Sorex isodon,NA,12.23,18,NA,NA,7.09,NA,NA,1,0.9,567.57,NA,carnivore
Chiroptera,Rhinolophidae,Rhinolophus,rouxii,Rhinolophus rouxii,NA,12.25,123.54,NA,NA,0.99,1,60,1,2.86,NA,above ground,carnivore
Afrosoricida,Tenrecidae,Microgale,cowani,Microgale cowani,NA,12.27,NA,NA,NA,NA,NA,NA,2,NA,NA,ground dwelling,NA
Chiroptera,Emballonuridae,Diclidurus,ingens,Diclidurus ingens,nocturnal,12.3,NA,NA,5,NA,NA,NA,2,NA,NA,above ground,NA
Rodentia,Heteromyidae,Microdipodops,megacephalus,Microdipodops megacephalus,nocturnal,12.3,NA,0.004385806,6,3.94,NA,65,2,NA,NA,ground dwelling,omnivore
Soricomorpha,Soricidae,Myosorex,cafer,Myosorex cafer,both,12.3,NA,NA,4,2.99,NA,NA,2,NA,NA,ground dwelling,omnivore
Chiroptera,Phyllostomidae,Artibeus,glaucus,Artibeus glaucus,NA,12.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,herbivore
Chiroptera,Vespertilionidae,Lasiurus,borealis,Lasiurus borealis,NA,12.33,84.21,NA,4,3.12,1,NA,2,4.29,NA,above ground,carnivore
Afrosoricida,Tenrecidae,Microgale,taiva,Microgale taiva,NA,12.4,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Nyctalus,leisleri,Nyctalus leisleri,NA,12.47,NA,NA,1,1.73,1,NA,1,NA,NA,above ground,NA
Rodentia,Cricetidae,Reithrodontomys,gracilis,Reithrodontomys gracilis,nocturnal,12.47,NA,NA,4,3.11,NA,NA,1,NA,NA,above ground,NA
Rodentia,Nesomyidae,Prionomys,batesi,Prionomys batesi,NA,12.5,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Lasiurus,castaneus,Lasiurus castaneus,NA,12.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,carnivore
Rodentia,Muridae,Gerbillus,pusillus,Gerbillus pusillus,NA,12.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Emballonuridae,Diclidurus,isabellus,Diclidurus isabellus,nocturnal,12.61,NA,NA,3,NA,NA,NA,1,NA,NA,above ground,NA
Chiroptera,Molossidae,Tadarida,brasiliensis,Tadarida brasiliensis,NA,12.61,89.99,NA,NA,1.11,1,180,NA,3.19,NA,above ground,carnivore
Rodentia,Muridae,Mus,triton,Mus triton,NA,12.62,NA,NA,NA,4.4,3,NA,NA,1.29,814.02,NA,NA
Soricomorpha,Soricidae,Cryptotis,meridensis,Cryptotis meridensis,NA,12.63,NA,NA,NA,NA,NA,NA,NA,NA,104.61,ground dwelling,carnivore
Chiroptera,Vespertilionidae,Myotis,macrotarsus,Myotis macrotarsus,NA,12.64,NA,NA,1,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Phyllostomidae,Artibeus,cinereus,Artibeus cinereus,NA,12.7,NA,NA,NA,0.99,NA,NA,NA,NA,NA,above ground,herbivore
Chiroptera,Molossidae,Cynomops,planirostris,Cynomops planirostris,NA,12.84,NA,NA,1,1,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Rhinolophidae,Rhinolophus,capensis,Rhinolophus capensis,NA,12.87,107.97,NA,1,0.99,1,NA,1,NA,NA,above ground,NA
Chiroptera,Phyllostomidae,Micronycteris,hirsuta,Micronycteris hirsuta,NA,12.89,NA,NA,NA,0.99,NA,NA,NA,NA,NA,above ground,omnivore
Chiroptera,Phyllostomidae,Mimon,bennettii,Mimon bennettii,NA,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,omnivore
Rodentia,Cricetidae,Reithrodontomys,brevirostris,Reithrodontomys brevirostris,nocturnal,12.9,NA,NA,NA,3.4,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Hipposideridae,Asellia,tridens,Asellia tridens,NA,12.94,66.1,NA,NA,NA,NA,NA,NA,NA,NA,above ground,carnivore
Rodentia,Cricetidae,Reithrodontomys,darienensis,Reithrodontomys darienensis,nocturnal,12.99,NA,NA,NA,3.88,NA,NA,NA,NA,NA,above ground,NA
Soricomorpha,Soricidae,Sorex,roboratus,Sorex roboratus,NA,12.99,NA,NA,NA,7.52,NA,NA,NA,NA,NA,NA,carnivore
Rodentia,Cricetidae,Akodon,bogotensis,Akodon bogotensis,NA,12.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Eptesicus,dimissus,Eptesicus dimissus,NA,13.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Soricomorpha,Soricidae,Sorex,palustris,Sorex palustris,both,13.07,21,0.002320105,NA,5.46,2.5,18,NA,NA,NA,ground dwelling,omnivore
Chiroptera,Rhinolophidae,Rhinolophus,fumigatus,Rhinolophus fumigatus,NA,13.09,92.54,NA,NA,0.99,1,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Phyllostomidae,Carollia,castanea,Carollia castanea,NA,13.1,NA,NA,NA,0.99,NA,NA,1,NA,NA,above ground,herbivore
Chiroptera,Rhinopomatidae,Rhinopoma,hardwickii,Rhinopoma hardwickii,NA,13.1,98.28,NA,5,0.99,1,NA,1,2.5,NA,above ground,carnivore
Chiroptera,Molossidae,Nyctinomops,laticaudatus,Nyctinomops laticaudatus,NA,13.12,NA,NA,5,0.99,1,NA,1,4.01,NA,above ground,NA
Chiroptera,Mystacinidae,Mystacina,tuberculata,Mystacina tuberculata,nocturnal,13.14,NA,NA,1,0.99,1,NA,NA,3.2,NA,above ground,omnivore
Chiroptera,Hipposideridae,Triaenops,persicus,Triaenops persicus,NA,13.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,carnivore
Soricomorpha,Soricidae,Neomys,anomalus,Neomys anomalus,NA,13.19,26,NA,3,7.1,NA,24,1,0.58,NA,ground dwelling,NA
Rodentia,Muridae,Gerbillus,amoenus,Gerbillus amoenus,NA,13.2,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA
Chiroptera,Phyllostomidae,Glossophaga,longirostris,Glossophaga longirostris,NA,13.32,NA,NA,3,0.98,2,NA,1,NA,NA,above ground,omnivore
Rodentia,Heteromyidae,Microdipodops,pallidus,Microdipodops pallidus,nocturnal,13.36,NA,NA,3,3.89,NA,NA,2,1,NA,ground dwelling,omnivore
Rodentia,Muridae,Pseudomys,hermannsburgensis,Pseudomys hermannsburgensis,NA,13.38,31.5,NA,3,2,NA,NA,2,NA,NA,NA,NA
Chiroptera,Phyllostomidae,Platyrrhinus,helleri,Platyrrhinus helleri,NA,13.44,NA,NA,6,0.99,2,NA,1,NA,NA,above ground,herbivore
Rodentia,Cricetidae,Microryzomys,altissimus,Microryzomys altissimus,NA,13.49,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Microryzomys,minutus,Microryzomys minutus,NA,13.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Mormoopidae,Pteronotus,gymnonotus,Pteronotus gymnonotus,NA,13.6,NA,NA,NA,0.98,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Rhinolophidae,Rhinolophus,hilli,Rhinolophus hilli,NA,13.6,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA
Chiroptera,Emballonuridae,Diclidurus,scutatus,Diclidurus scutatus,nocturnal,13.62,NA,NA,2,NA,NA,NA,2,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Harpiocephalus,harpia,Harpiocephalus harpia,NA,13.65,NA,NA,1,NA,NA,NA,1,NA,NA,above ground,carnivore
Chiroptera,Rhinolophidae,Rhinolophus,inops,Rhinolophus inops,NA,13.65,NA,NA,6,NA,NA,NA,1,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Myotis,tricolor,Myotis tricolor,NA,13.67,77.43,NA,2,0.99,1,NA,2,NA,NA,above ground,NA
Chiroptera,Molossidae,Molossus,molossus,Molossus molossus,NA,13.7,107.97,NA,1,0.99,2,NA,2,3.49,NA,above ground,carnivore
Chiroptera,Rhinolophidae,Rhinolophus,affinis,Rhinolophus affinis,NA,13.7,NA,NA,6,0.99,2,NA,1,NA,NA,above ground,carnivore
Chiroptera,Phyllostomidae,Lonchophylla,robusta,Lonchophylla robusta,NA,13.72,NA,NA,NA,0.98,NA,NA,1,NA,NA,above ground,omnivore
Rodentia,Muridae,Mus,booduga,Mus booduga,NA,13.78,NA,0.000967874,NA,5.96,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Calomys,tener,Calomys tener,NA,13.8,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
Soricomorpha,Soricidae,Crocidura,luna,Crocidura luna,both,13.83,NA,NA,2,1.99,NA,NA,2,NA,NA,NA,carnivore
Diprotodontia,Acrobatidae,Acrobates,pygmaeus,Acrobates pygmaeus,NA,13.84,NA,0.005959065,1,2.8,2,86.4,1,0.01,899.99,NA,omnivore
Afrosoricida,Tenrecidae,Microgale,monticola,Microgale monticola,NA,13.9,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
Chiroptera,Phyllostomidae,Chiroderma,trinitatum,Chiroderma trinitatum,NA,13.91,NA,NA,4,0.98,NA,NA,1,NA,NA,above ground,herbivore
Chiroptera,Phyllostomidae,Mimon,crenulatum,Mimon crenulatum,NA,13.91,NA,NA,NA,0.99,NA,NA,NA,NA,NA,above ground,omnivore
Rodentia,Cricetidae,Calomys,laucha,Calomys laucha,NA,14,25,NA,5,5.3,NA,NA,1,NA,NA,above ground,omnivore
Soricomorpha,Soricidae,Crocidura,maurisca,Crocidura maurisca,NA,14,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA
Chiroptera,Hipposideridae,Hipposideros,semoni,Hipposideros semoni,NA,14,NA,NA,1,NA,NA,NA,1,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Lasiurus,ebenus,Lasiurus ebenus,NA,14,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
Didelphimorphia,Didelphidae,Marmosa,lepida,Marmosa lepida,nocturnal,14,NA,NA,1,4.99,NA,NA,NA,NA,NA,NA,NA
Soricomorpha,Soricidae,Sorex,alaskanus,Sorex alaskanus,NA,14,NA,NA,2,NA,NA,NA,1,NA,NA,ground dwelling,NA
Chiroptera,Rhinolophidae,Rhinolophus,mehelyi,Rhinolophus mehelyi,NA,14.03,NA,NA,2,NA,NA,NA,NA,NA,NA,above ground,carnivore
Soricomorpha,Soricidae,Sorex,unguiculatus,Sorex unguiculatus,both,14.11,28,8.52E-05,3,5.24,1.32,18,1,NA,3093.28,ground dwelling,carnivore
Chiroptera,Vespertilionidae,Miniopterus,magnater,Miniopterus magnater,NA,14.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Phyllostomidae,Phyllonycteris,aphylla,Phyllonycteris aphylla,both,14.15,NA,NA,NA,0.99,NA,NA,NA,NA,NA,above ground,omnivore
Chiroptera,Vespertilionidae,Chalinolobus,gouldii,Chalinolobus gouldii,NA,14.24,92.54,NA,2,1.41,1,NA,3,NA,NA,above ground,carnivore
Chiroptera,Molossidae,Sauromys,petrophilus,Sauromys petrophilus,NA,14.25,NA,NA,1,NA,NA,NA,2,NA,NA,above ground,NA
Rodentia,Muridae,Mus,caroli,Mus caroli,NA,14.26,18.1,NA,1,NA,NA,NA,1,1.2,NA,NA,NA
Chiroptera,Phyllostomidae,Platyrrhinus,brachycephalus,Platyrrhinus brachycephalus,NA,14.26,NA,NA,6,0.98,NA,NA,2,NA,NA,above ground,NA
Rodentia,Cricetidae,Peromyscus,polionotus,Peromyscus polionotus,nocturnal,14.27,23.8,0.003254633,5,3.59,2,NA,2,1.54,889,NA,NA
Chiroptera,Molossidae,Mormopterus,beccarii,Mormopterus beccarii,NA,14.3,NA,NA,2,NA,NA,NA,1,NA,NA,above ground,carnivore
Chiroptera,Rhinolophidae,Rhinolophus,euryotis,Rhinolophus euryotis,NA,14.3,NA,NA,3,NA,NA,NA,1,NA,NA,above ground,carnivore
Dasyuromorphia,Dasyuridae,Sminthopsis,dolichura,Sminthopsis dolichura,both,14.39,NA,NA,3,7.2,NA,38.04,1,NA,NA,ground dwelling,NA
Chiroptera,Nycteridae,Nycteris,tragata,Nycteris tragata,NA,14.4,NA,NA,3,NA,NA,NA,1,NA,NA,above ground,carnivore
Chiroptera,Pteropodidae,Balionycteris,maculata,Balionycteris maculata,NA,14.43,NA,NA,3,1,NA,NA,1,NA,NA,above ground,herbivore
Rodentia,Muridae,Lorentzimys,nouhuysi,Lorentzimys nouhuysi,both,14.44,NA,NA,3,2.75,NA,NA,1,NA,NA,above ground,omnivore
Soricomorpha,Soricidae,Crocidura,fumosa,Crocidura fumosa,NA,14.49,NA,NA,3,3.74,NA,NA,1,NA,NA,NA,NA
Soricomorpha,Soricidae,Crocidura,raineyi,Crocidura raineyi,NA,14.49,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA
Soricomorpha,Soricidae,Blarina,hylophaga,Blarina hylophaga,NA,14.49,NA,NA,3,NA,NA,NA,2,NA,NA,ground dwelling,NA
Soricomorpha,Soricidae,Crocidura,montis,Crocidura montis,NA,14.49,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA
Soricomorpha,Soricidae,Crocidura,turba,Crocidura turba,NA,14.49,NA,NA,4,2,NA,NA,2,NA,NA,NA,NA
Soricomorpha,Soricidae,Crocidura,zimmeri,Crocidura zimmeri,NA,14.49,NA,NA,5,NA,NA,NA,2,NA,NA,NA,NA
Rodentia,Muridae,Hylomyscus,parvus,Hylomyscus parvus,nocturnal,14.49,NA,NA,3,NA,NA,NA,2,NA,NA,above ground,NA
Chiroptera,Nycteridae,Nycteris,macrotis,Nycteris macrotis,NA,14.49,78.21,NA,1,0.99,2.25,NA,2,NA,NA,above ground,carnivore
Soricomorpha,Soricidae,Soriculus,nigrescens,Soriculus nigrescens,NA,14.58,NA,NA,1,4.89,NA,NA,1,NA,NA,ground dwelling,carnivore
Chiroptera,Phyllostomidae,Carollia,brevicauda,Carollia brevicauda,NA,14.85,NA,NA,1,0.98,NA,NA,1,NA,NA,above ground,herbivore
Chiroptera,Molossidae,Molossus,aztecus,Molossus aztecus,NA,14.86,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Miniopterus,inflatus,Miniopterus inflatus,NA,14.9,91.24,NA,NA,0.99,NA,NA,2,NA,NA,above ground,carnivore
Dasyuromorphia,Dasyuridae,Planigale,novaeguineae,Planigale novaeguineae,both,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,ground dwelling,NA
Rodentia,Heteromyidae,Chaetodipus,intermedius,Chaetodipus intermedius,NA,14.94,NA,NA,4,5.53,NA,NA,NA,NA,425.17,NA,NA
Rodentia,Nesomyidae,Dendromus,nyikae,Dendromus nyikae,NA,15,NA,NA,NA,4.62,NA,NA,NA,NA,NA,NA,NA
Soricomorpha,Soricidae,Sorex,mirabilis,Sorex mirabilis,NA,15,NA,NA,6,NA,NA,NA,2,NA,NA,NA,carnivore
Dasyuromorphia,Dasyuridae,Sminthopsis,hirtipes,Sminthopsis hirtipes,both,15,NA,NA,6,NA,NA,NA,1,NA,NA,ground dwelling,NA
Chiroptera,Pteropodidae,Aethalops,alecto,Aethalops alecto,NA,15,NA,NA,1,0.99,NA,NA,2,NA,NA,above ground,NA
Chiroptera,Molossidae,Nyctinomops,femorosaccus,Nyctinomops femorosaccus,NA,15.04,NA,NA,1,0.99,1,NA,1,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Barbastella,leucomelas,Barbastella leucomelas,NA,15.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Rhinolophidae,Rhinolophus,bocharicus,Rhinolophus bocharicus,NA,15.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Phyllostomidae,Anoura,latidens,Anoura latidens,NA,15.06,NA,NA,1,NA,NA,NA,1,NA,NA,above ground,omnivore
Chiroptera,Hipposideridae,Hipposideros,corynophyllus,Hipposideros corynophyllus,NA,15.07,NA,NA,1,NA,NA,NA,1,NA,NA,above ground,NA
Rodentia,Cricetidae,Scotinomys,xerampelinus,Scotinomys xerampelinus,NA,15.07,33.53,NA,1,3.08,NA,NA,1,1.11,NA,NA,NA
Chiroptera,Phyllostomidae,Anoura,geoffroyi,Anoura geoffroyi,NA,15.15,125.14,NA,1,0.99,1,120,1,4.99,NA,above ground,omnivore
Chiroptera,Vespertilionidae,Myotis,dasycneme,Myotis dasycneme,NA,15.16,NA,NA,1,1,NA,234,1,NA,NA,above ground,carnivore
Chiroptera,Rhinolophidae,Rhinolophus,trifoliatus,Rhinolophus trifoliatus,NA,15.16,NA,NA,4,NA,NA,NA,2,NA,NA,above ground,carnivore
Chiroptera,Molossidae,Chaerephon,major,Chaerephon major,NA,15.17,NA,NA,3,1,NA,NA,2,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Miniopterus,tristis,Miniopterus tristis,NA,15.17,NA,NA,3,NA,NA,NA,2,NA,NA,above ground,NA
Soricomorpha,Soricidae,Neomys,fodiens,Neomys fodiens,both,15.26,21.38,0.000156744,3,6.39,2,36,2,0.71,320,ground dwelling,omnivore
Chiroptera,Phyllostomidae,Monophyllus,plethodon,Monophyllus plethodon,NA,15.33,NA,NA,3,0.99,NA,NA,2,0.87,NA,above ground,NA
Didelphimorphia,Didelphidae,Thylamys,pallidior,Thylamys pallidior,nocturnal,15.34,NA,NA,4,NA,NA,NA,2,NA,NA,above ground,NA
Chiroptera,Phyllostomidae,Lonchorhina,aurita,Lonchorhina aurita,NA,15.38,NA,NA,3,0.98,1,NA,2,NA,NA,above ground,carnivore
Chiroptera,Molossidae,Chaerephon,bivittatus,Chaerephon bivittatus,NA,15.42,NA,NA,NA,NA,NA,NA,1,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Vespertilio,murinus,Vespertilio murinus,NA,15.42,52.14,NA,NA,1.5,1,144,NA,NA,NA,above ground,carnivore
Soricomorpha,Talpidae,Dymecodon,pilirostris,Dymecodon pilirostris,both,15.46,40,NA,NA,3,1,NA,NA,NA,4999.99,ground dwelling,carnivore
Chiroptera,Molossidae,Eumops,hansae,Eumops hansae,NA,15.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Phyllostomidae,Artibeus,toltecus,Artibeus toltecus,NA,15.47,NA,NA,NA,0.99,2,NA,NA,NA,NA,above ground,herbivore
Chiroptera,Molossidae,Promops,nasutus,Promops nasutus,NA,15.5,NA,NA,NA,NA,NA,NA,NA,3.57,NA,above ground,carnivore
Rodentia,Muridae,Pseudomys,bolami,Pseudomys bolami,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Heteromyidae,Chaetodipus,nelsoni,Chaetodipus nelsoni,nocturnal,15.53,30.63,0.002835545,NA,3.46,NA,NA,NA,NA,473.46,ground dwelling,omnivore
Chiroptera,Phyllostomidae,Sturnira,erythromos,Sturnira erythromos,NA,15.53,NA,NA,NA,0.99,NA,NA,NA,NA,NA,above ground,herbivore
Rodentia,Heteromyidae,Chaetodipus,penicillatus,Chaetodipus penicillatus,NA,15.57,26,0.005027576,NA,3.4,NA,NA,NA,NA,172.99,NA,NA
Chiroptera,Vespertilionidae,Eptesicus,bottae,Eptesicus bottae,NA,15.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Pipistrellus,stenopterus,Pipistrellus stenopterus,NA,15.67,NA,NA,1,0.98,NA,NA,1,NA,NA,above ground,carnivore
Rodentia,Cricetidae,Reithrodontomys,mexicanus,Reithrodontomys mexicanus,nocturnal,15.71,NA,NA,NA,2.91,NA,NA,1,NA,NA,above ground,NA
Soricomorpha,Soricidae,Sorex,bendirii,Sorex bendirii,NA,15.76,NA,NA,6,NA,NA,NA,1,NA,NA,above ground,carnivore
Soricomorpha,Soricidae,Crocidura,hirta,Crocidura hirta,both,15.8,18,NA,6,3.89,NA,NA,1,1,44.12,ground dwelling,omnivore
Chiroptera,Phyllostomidae,Carollia,subrufa,Carollia subrufa,NA,15.84,NA,NA,2,0.98,2,NA,3,NA,NA,above ground,herbivore
Chiroptera,Phyllostomidae,Erophylla,sezekorni,Erophylla sezekorni,NA,15.87,NA,NA,NA,1,NA,NA,NA,0.85,NA,above ground,NA
Chiroptera,Molossidae,Cynomops,greenhalli,Cynomops greenhalli,NA,15.87,NA,NA,1,0.99,NA,NA,1,NA,NA,above ground,carnivore
Rodentia,Cricetidae,Neacomys,guianae,Neacomys guianae,NA,15.87,NA,NA,1,NA,NA,NA,2,NA,27.45,ground dwelling,omnivore
Chiroptera,Vespertilionidae,Myotis,welwitschii,Myotis welwitschii,NA,15.88,NA,NA,1,NA,NA,NA,1,NA,NA,above ground,NA
Diprotodontia,Burramyidae,Cercartetus,concinnus,Cercartetus concinnus,nocturnal,15.96,52.14,NA,NA,4.6,1,NA,NA,0.01,NA,above ground,NA
Dasyuromorphia,Dasyuridae,Sminthopsis,crassicaudata,Sminthopsis crassicaudata,both,15.98,16,NA,2,6.52,2,51.6,3,0.01,49.99,ground dwelling,carnivore
Soricomorpha,Soricidae,Crocidura,monax,Crocidura monax,NA,16,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
Soricomorpha,Soricidae,Crocidura,niobe,Crocidura niobe,NA,16,NA,NA,NA,2.99,NA,NA,1,NA,NA,NA,NA
Soricomorpha,Soricidae,Crocidura,ultima,Crocidura ultima,NA,16,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA
Chiroptera,Molossidae,Mops,brachypterus,Mops brachypterus,NA,16,NA,NA,NA,0.99,NA,NA,1,NA,NA,above ground,NA
Dasyuromorphia,Dasyuridae,Sminthopsis,archeri,Sminthopsis archeri,both,16,NA,NA,1,8.15,NA,NA,NA,NA,NA,ground dwelling,carnivore
